state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
012,IMO,0120314,ROSELEC INTERNATIONAL SECONDARY SCHOOL AKOKWA,12020,"CHARLES HEEREY MEMORIAL, URUALLA",URUALLA,,,,,
012,IMO,0120315,"COMPREHENSIVE DEVELOPMENT SECONDARY SCHOOL,  OWERRI",12001,"NECO OFFICE, OWERRI 1",OWERRI,,,,,
012,IMO,0120316,OBOAMA SECONDARY SCHOOL.,12014,"ST PATRICK'S PARISH IBEKU, ABOH-MBAISE","IBEKU, ABOH-MBAISE",,,,,
012,IMO,0120317,"COMPREHENSIVE SECONDARY SCHOOL,AVU",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120318,"BAPTIST HIGH SCHOOL, UMUOHIE NGOR",12007,"ST. THERESA'S CATHOLIC PARISH, NGURU-UMUARO",NGURU-UMUARO,,,,,
012,IMO,0120319,"THOMAS BIRCH FREEMAN SEMINARY, OKIGWE",12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120320,"ST. KIZITO'S SECONDARY SCHOOL, UMUCHIMA",12020,"CHARLES HEEREY MEMORIAL, URUALLA",URUALLA,,,,,
012,IMO,0120321,"ALVANA MODEL SECONDARY SCHOOL,OWERRI",12003,"EDUCATION SECRETARIAT,ASSUMPTA NEW OWERRI",NEW OWERRI,,,,,
012,IMO,0120322,"GIRLS' SECONDARY SCHOOL, IKENEGBU",12001,"NECO OFFICE, OWERRI 1",OWERRI,,,,,
012,IMO,0120323,LOGARA HIGH SCHOOL,12027,"ST JOSEPH'S PARISH, ULAKWO ( OWERRI NORTH)",ULAKWO,,,,,
012,IMO,0120324,UMUOWA-IBU SECONDARY TECHNICAL SCHOOL,12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120325,"COMPREHENSIVE SECONDARY SCHOOL,AMAKOHIA-URATTA",12032,"SACRED HEART PARISH, AKWAKUMA",AKWAKUMA,,,,,
012,IMO,0120326,"CHRIST THE KING COMPR. COLLEGE, ORJI",12002,"NECO OFFICE, OWERRI  II",OWERRI,,,,,
012,IMO,0120327,"CITY COLLEGE, OKIGWE",12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120328,"MOUNT OLIVES SEMINARY, NSU",12010,"OUR LADY OF FATIMA PARISH, UMUAKAGU-NSU",UMUAKAGU-NSU,,,,,
012,IMO,0120329,"SENIOR SCIENCE AND COMPUTER STUDIES SEMINARY, EZIHE",12023,"ST MICHAEL'S PARISH, UMUEZE 1",UMUEZE,,,,,
012,IMO,0120330,"ARCHDEACON DENNIS FOUND. INTL. BOYS SECONDARY SCHOOL,  EGBU",12031,"MOUNT CARMEL, EMEKUKU OWERRI",EMEKUKU OWERRI,,,,,
012,IMO,0120331,"COMPREHENSIVE SECONDARY SCHOOL, UMUKABIA",12023,"ST MICHAEL'S PARISH, UMUEZE 1",UMUEZE,,,,,
012,IMO,0120332,"COMMUNITY SECONDARY SCHOOL, OKIGWE",12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120333,"INTERNATIONAL SECONDARY SCHOOL, ORLU",12026,"ST MARY'S PARISH, AMAIFEKE ORLU",AMAIFEKE ORLU,,,,,
012,IMO,0120334,"ST. AUGUSTINE'S MODEL SECONDARY SCHOOL , UBOMA",12009,"ST CYPRIAN ANGLICAN CHURCH, UMUIHI",UMUIHI,,,,,
012,IMO,0120335,"UMUEZE COMMUNITY SECONDARY SCHOOL,AMIKE-ORLU",12016,"ST JOSEPH'S PARISH, UMUNNA ORLU",UMUNNA ORLU,,,,,
012,IMO,0120336,"COMPREHENSIVE SECONDARY SCHOOL, UMUNAKANU - AMA",12023,"ST MICHAEL'S PARISH, UMUEZE 1",UMUEZE,,,,,
012,IMO,0120337,"CHRIST ACADEMY SECONDARY SCHOOL, AMURO-OKIGWE",12008,"METHODIST CHURCH CATHERDRAL, OKIGWE",OKIGWE,,,,,
012,IMO,0120338,"ST. DOMINIC SAVIO COMPREHENSIVE  SECONDARY SCHOOL, NTUEKE, IDEATO",12020,"CHARLES HEEREY MEMORIAL, URUALLA",URUALLA,,,,,
012,IMO,0120339,"ANNA MEMORIAL COMPREHENSIVE SECONDARY SCHOOL,MBIERI",12032,"SACRED HEART PARISH, AKWAKUMA",AKWAKUMA,,,,,
