state_code,state_name,sch_num,sch_name,cust_code,cust_name,cust_town,status,type,category,accd_year,lga
027,Rivers,0276189,"PAWA INTERNATIONAL SCHOOLS, WOJI, PORT HARCOURT",27027,"INTELLECTUAL GAINT CHRISTIAN SCHOOL, WOJI",WOJI,,,,,
022,Ogun,0220788,CROWN COLLEGE ABEOKUTA,22015,"SOLID ROCK MICROFINANCE BANK, IFO",IFO,,,,,
025,Oyo,0257937,"3BS COLLEGE ABASO, IBADAN",25005,"POLICE STATION, AKOBO I",AKOBO,,,,,
001,Abia,0010632,"THE MASTER'S VESSEL CLASSICAL ACADEMY, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0011076,"ADVENTIST SECONDARY TECHNICAL COLLEGE, OWERRINTA",01004,ZIE ABA SOUTH,ABA SOUTH,,,,,
001,Abia,0011077,"DIVINE GRACE INTERNATIONAL SECONDARY SCHOOL, ABA",01004,ZIE ABA SOUTH,ABA SOUTH,,,,,
020,Lagos,0208258,"EBIERE COLLEGE, OJO, LAGOS",20009,"DIVISIONAL POLICE STATION, OKOKOMAIKO",OKOKOMAIKO,,,,,
001,Abia,0013287,"MICHEAL OPARA UNIV OF AGRICULTURE INTERNATIONAL SECONDARY SCHOOL, UMUDIKE",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0014101,"CHRISTLAND MISSION SECONDARY SCHOOL, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0014282,"PRAISE-EL GIBOR INTERNATIONAL SECONDARY SCHOOL, ABA UMUCHICHI",01004,ZIE ABA SOUTH,ABA SOUTH,,,,,
001,Abia,0014283,"JEN-EDITH INTERNATIONAL ACADEMY, OBUZOR ASA",01005,"A.I.E, OBEHIE",OBEHIE,,,,,
001,Abia,0014523,"GOLDAN INTERNATIONAL SECONDARY SCHOOL, IKWUANO UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0014527,"STANDARD INTERNATIONAL SECONDARY SCHOOL, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0014715,"ST. CECILIA'S ACADEMY, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0014716,"MARIGOLD MONTESSORI SECONDARY SCHOOL, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0015733,"HIGHER GROUND INTERNATIONAL SCHOOLS, UZUAKOLI",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0016090,"VEMA PARAGON ACADEMY, OLOKORO, UMUAHIA",01001,"NECO OFFICE, UMUAHIA",UMUAHIA,,,,,
001,Abia,0016512,"HOMESTEAD ALTERNATIVE ACADEMY, ELUAMA ISUIKWUATO",01006,"SUB-TREASURY, ISUIKWUATO",ISUIKWUATO,,,,,
001,Abia,0017750,"DORITY INTERNATIONAL EARLY LEARNING SCHOOL, ABA",01004,ZIE ABA SOUTH,ABA SOUTH,,,,,
002,Adamawa,0020215,"CONCORDIA COLLEGE, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0020700,"INTERNATIONAL COMPREHENSIVE SCHOOL, MUBI",02003,"EMIR'S PALACE, MUBI",MUBI,,,,,
002,Adamawa,0020839,"EL-SHADAI MODEL SCHOOL, YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0020844,IQRA ACADEMY YOLA,02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0021131,LIGHT OF LIFE ACADEMY,,,,,,,,
002,Adamawa,0021146,"BIBLE HERITAGE LIFE COLLEGE, YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0021257,"FEDERAL POLYTECH.STAFF SCHOOL, MUBI",02003,"EMIR'S PALACE, MUBI",MUBI,,,,,
002,Adamawa,0021258,"NADI INTERNATIONAL SCHOOL, YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0021427,"ASSEMBLIES OF GOD ACADEMY, JIMETA, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0021428,"USMAN BARKONO ACADEMY, YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0021669,REMI EDUCATIONAL FOUNDATION COLLEGE,02002,"LOCAL EDUCATION COUNCIL, YOLA TOWN",YOLA,,,,,
002,Adamawa,0021674,"HALIBARTH ENGLISH COLLEGE, MUBI",02003,"EMIR'S PALACE, MUBI",MUBI,,,,,
002,Adamawa,0021677,"F.A.A.N. STAFF ACADEMY, YOLA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0021866,"ST.PATRICK'S ACADEMY,GRA,NUMAN ADAMAWA STATE",02004,"UNITY BANK PLC, NUMAN",NUMAN,,,,,
002,Adamawa,0021867,"UPPER BENUE STAFF SCH.MBABMA FUFORE RD,YOLA.",02002,"LOCAL EDUCATION COUNCIL, YOLA TOWN",YOLA,,,,,
002,Adamawa,0021868,ISALI INTER. ACADEMY LAMIN ZUBAIRU BYE PASS YOLA,02002,"LOCAL EDUCATION COUNCIL, YOLA TOWN",YOLA,,,,,
002,Adamawa,0023157,"EKKLESIYA YANUWA A NIGERIA, (E.Y.N) ACADEMY,  JIMETA",02009,"UNION BANK PLC, JIMETA",JIMETA,,,,,
002,Adamawa,0023169,"AREWA ACHIEVER'S ACADEMY, YOLA",02002,"LOCAL EDUCATION COUNCIL, YOLA TOWN",YOLA,,,,,
002,Adamawa,0023171,"ADVENTIST SECONDARY SCHOOL, NUMAN",02004,"UNITY BANK PLC, NUMAN",NUMAN,,,,,
002,Adamawa,0023309,"USMANIYA COLLEGE FOR ARABIC AND ISLAMIC EDUCATION, YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0023587,"BILSAG UNIQUE INTERNATIONAL ACADEMY, JIMETA-YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0024103,"KIM STANDARD FOUNDATION SCHOOL, JIMETA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
002,Adamawa,0024285,"HALIBERTH SCIENCE COLLEGE, MUBI",02003,"EMIR'S PALACE, MUBI",MUBI,,,,,
002,Adamawa,0024451,"INSPIRE PARADIGM ACADEMY, JIMETA YOLA",02001,"NECO OFFICE, YOLA",YOLA,,,,,
